algorithm_time_s,curvature_energy_1pm,deviation_max_m,deviation_rmse_m,error,max_abs_curvature_1pm,method,metric_spacing_m,native_point_count,output_path_sha256,path_length_m,pivot_competitive_candidates,pivot_corners,pivot_g2_transitions,pivot_marker_count,pivot_max_angle_rad,pivot_max_footprint_cost,pivot_mean_transition_score,pivot_output_points,pivot_pivots,pivot_runtime_s,pivot_total_angle_rad,pivot_valid_candidates,planner,point_count,raw_path_sha256,repetition,scenario,success,translation_curvature_energy_1pm,translation_max_abs_curvature_1pm,translation_path_length_m,translation_segment_count,wall_time_s
0.0,1.9025128333016252,0.010359212325773725,0.0015979460782152804,,2.8432617146292185,savitzky_golay,0.05,127,9a74cfafc4e5e6f521e9f9b8e4c658218c9fc2be8d33e7abe0fe7a7dd67290b8,6.83641272902456,,,,0,0.0,,,,,,0,,ThetaStar,138,5589fb3e223a928f4fb9989c8e0410f5ce39bfe2cfe513957fa0c32ff5f7c8f6,1,central_south_to_north,True,1.9025128333016252,2.8432617146292185,6.83641272902456,1,0.00416639100149041
0.009000000000000001,0.863662731443444,0.03274169056571484,0.012123617991480597,,1.220399151444222,constrained,0.05,127,33b631f1eafb153d9f36bafe7fcf6d88138eba931c2076b2bfc7e6576f17b199,6.845169797587614,,,,0,0.0,,,,,,0,,ThetaStar,138,5589fb3e223a928f4fb9989c8e0410f5ce39bfe2cfe513957fa0c32ff5f7c8f6,1,central_south_to_north,True,0.863662731443444,1.220399151444222,6.845169797587614,1,0.010607492000417551
0.003,5.090104165944354,0.03615092394707737,0.015858671949878216,,6.340573464917724,pivot_g2,0.05,194,2176e299856fb86a2afd8744f0d58b27e8e2b2c6f0270efd74b5ed03ec84d86c,6.833079713195753,10,5,3,2,0.321750554396642,200,0.956549,194,2,0.00169081,0.643501108793284,20,ThetaStar,138,5589fb3e223a928f4fb9989c8e0410f5ce39bfe2cfe513957fa0c32ff5f7c8f6,1,central_south_to_north,True,2.001408215679991,2.3013197116499606,6.833728242831412,3,0.006161901999803376
0.0,13.870986572076308,2.220446049250313e-16,4.7745371109350785e-17,,8.26565566327993,raw,0.05,127,5947e6176039f34fe93c4e279c1b28d548cf2c869d971f5bf1e3390372e035d4,6.5845954185214275,,,,0,0.0,,,,,,0,,ThetaStar,133,5947e6176039f34fe93c4e279c1b28d548cf2c869d971f5bf1e3390372e035d4,1,right_south_to_north,True,13.870986572076308,8.26565566327993,6.5845954185214275,1,0.003472747001069365
0.0,1.538616149658576,0.03178326842389366,0.007636422662908055,,1.9625011099809855,simple,0.05,127,c2e4cd1015d4fc857335871ba815db917e1630461b0d62990729393041dbb3e9,6.547103733462999,,,,0,0.0,,,,,,0,,ThetaStar,132,5947e6176039f34fe93c4e279c1b28d548cf2c869d971f5bf1e3390372e035d4,1,right_south_to_north,True,1.538616149658576,1.9625011099809855,6.547103733462999,1,0.004383133000374073
0.0,3.687074145297738,0.00922196030987555,0.0017622916932267696,,3.1943424772381164,savitzky_golay,0.05,127,ee6d1d0a7748ffd388f1c088d4b0fca95a3b20beb4e5c4972807022b0047e737,6.575339777001091,,,,0,0.0,,,,,,0,,ThetaStar,133,5947e6176039f34fe93c4e279c1b28d548cf2c869d971f5bf1e3390372e035d4,1,right_south_to_north,True,3.687074145297738,3.1943424772381164,6.575339777001091,1,0.004064187000039965
0.006,3.0570236052452784,0.019257996581353458,0.007448018018390045,,2.4887925827801127,constrained,0.05,127,1aa7d482f702a2a03ded53200d8db75c8587c843f34cd81367745ba90530f9c5,6.575784615356439,,,,0,0.0,,,,,,0,,ThetaStar,133,5947e6176039f34fe93c4e279c1b28d548cf2c869d971f5bf1e3390372e035d4,1,right_south_to_north,True,3.0570236052452784,2.4887925827801127,6.575784615356439,1,0.010488108000572538
0.003,5.544116484605846,0.006791028944331718,0.0012099926211660739,,3.7512582948085362,pivot_g2,0.05,259,9f3894240c4e382dd938512fc4b6c0bcefaa6b9cc8100c00dab8ab8e4460bf4a,6.5763812030226925,19,10,9,1,0.19739555984988089,200,1,259,1,0.00219276,0.19739555984988089,53,ThetaStar,133,5947e6176039f34fe93c4e279c1b28d548cf2c869d971f5bf1e3390372e035d4,1,right_south_to_north,True,5.082268733546871,3.7512582948085362,6.576622577950607,2,0.007428254999467754
0.0,0.0,0.0,0.0,,0.0,raw,0.05,57,8e8937e9c159df347bfeb35a8ef5ba9f07427b0a573b34c67b41c67bdab7e75a,2.8000000417232513,,,,0,0.0,,,,,,0,,ThetaStar,58,8e8937e9c159df347bfeb35a8ef5ba9f07427b0a573b34c67b41c67bdab7e75a,1,upper_open_short,True,0.0,0.0,2.8000000417232513,1,0.00191371900109516
0.0,0.0,0.0,0.0,,0.0,simple,0.05,57,8e8937e9c159df347bfeb35a8ef5ba9f07427b0a573b34c67b41c67bdab7e75a,2.8000000417232513,,,,0,0.0,,,,,,0,,ThetaStar,58,8e8937e9c159df347bfeb35a8ef5ba9f07427b0a573b34c67b41c67bdab7e75a,1,upper_open_short,True,0.0,0.0,2.8000000417232513,1,0.002825382998707937
0.0,0.0,0.0,0.0,,0.0,savitzky_golay,0.05,57,38d167a9cddc73aed4a5d9587122df47491cc11cac9552a7d4b00496f69a366a,2.8000000417232513,,,,0,0.0,,,,,,0,,ThetaStar,58,8e8937e9c159df347bfeb35a8ef5ba9f07427b0a573b34c67b41c67bdab7e75a,1,upper_open_short,True,0.0,0.0,2.8000000417232513,1,0.003169084000546718
