algorithm_time_s,curvature_energy_1pm,deviation_max_m,deviation_rmse_m,error,footprint_clearance_mean_m,footprint_clearance_min_m,footprint_clearance_p05_m,footprint_collision_sample_count,footprint_pose_sample_count,max_abs_curvature_1pm,method,metric_spacing_m,native_point_count,output_path_sha256,path_length_m,pivot_competitive_candidates,pivot_corners,pivot_g2_transitions,pivot_marker_count,pivot_max_angle_rad,pivot_max_footprint_cost,pivot_mean_transition_score,pivot_output_points,pivot_pivots,pivot_runtime_s,pivot_total_angle_rad,pivot_valid_candidates,planner,point_count,raw_path_sha256,repetition,scenario,success,translation_curvature_energy_1pm,translation_max_abs_curvature_1pm,translation_path_length_m,translation_segment_count,wall_time_s
0.0,28.96562795319141,4.440892098500626e-16,6.555245309585932e-17,,0.42121572864968787,0.1449222268733815,0.2146446641391273,0,545,13.211045397234837,raw,0.05,259,4afa89142cfe3e30f8fe4dceb140edf61b9a1983a400144d93c37f30c2cec56b,13.6437870078889,,,,0,0.0,,,,,,0,,ThetaStar,274,4afa89142cfe3e30f8fe4dceb140edf61b9a1983a400144d93c37f30c2cec56b,1,long_northeast_to_southwest,True,28.96562795319141,13.211045397234837,13.6437870078889,1,0.01633701599894266
0.0,3.450046293064265,0.036625392834008785,0.00773681919482065,,0.4021667463744682,0.11464466264901119,0.2146446641391273,0,480,1.892173078429749,simple,0.05,259,b369a4e3d597ebf36f7371badc74fd9b5f9dbc0fbc265e1c7c5ec2511e8a6cf5,13.56224182296272,,,,0,0.0,,,,,,0,,ThetaStar,273,4afa89142cfe3e30f8fe4dceb140edf61b9a1983a400144d93c37f30c2cec56b,1,long_northeast_to_southwest,True,3.450046293064265,1.892173078429749,13.56224182296272,1,0.014383518999238731
0.0,7.4064853957899865,0.01486201384118413,0.001990646586850631,,0.40234169033231726,0.11464466264901119,0.2474873771031409,0,450,4.038571942491414,savitzky_golay,0.05,259,15a436818e31908d78e80368d26e9fb05152f6665fe68edecf708915cf397538,13.619395906724673,,,,0,0.0,,,,,,0,,ThetaStar,274,4afa89142cfe3e30f8fe4dceb140edf61b9a1983a400144d93c37f30c2cec56b,1,long_northeast_to_southwest,True,7.4064853957899865,4.038571942491414,13.619395906724673,1,0.02008352299890248
0.027000000000000003,5.522101440203916,0.031286377378145595,0.010057957527126122,,0.3960187180962296,0.11464466264901119,0.23390290478282266,0,429,4.158181921651146,constrained,0.05,259,4d3ba8d65577dfafec3d7701843f80044392533ae2864ae4574a79097402d6e4,13.639763447229306,,,,0,0.0,,,,,,0,,ThetaStar,274,4afa89142cfe3e30f8fe4dceb140edf61b9a1983a400144d93c37f30c2cec56b,1,long_northeast_to_southwest,True,5.522101440203916,4.158181921651146,13.639763447229306,1,0.046559548000004725
0.0,15.557774632488934,0.014693080449383833,0.0031890171668574187,,0.41318022569597374,0.06464466190395313,0.21959563989254183,0,542,13.211045397234995,pivot_g2,0.05,527,5c2fe4e8264e33f7576bd2026ac038e6aeb4a9be3797e565b49cb615dd23d747,13.625184779294656,99,17,15,2,0.785398163397448,200,1,527,2,0.0069854,0.9505468408120751,103,ThetaStar,274,4afa89142cfe3e30f8fe4dceb140edf61b9a1983a400144d93c37f30c2cec56b,1,long_northeast_to_southwest,True,6.363722900540447,3.7729630161718695,13.627483402748037,3,0.022062395000830293
0.0,5.1002111312387,4.440892098500626e-16,9.677360986340288e-17,,0.8002824218807613,0.12275854577833645,0.2146446641391273,0,432,3.4349646960949354,raw,0.05,214,b44b951f1f0f1074e0aaa7cc3f66a29c15d57fed8b98fe1f14aefdc8d6bd7c20,12.085153966863464,,,,0,0.0,,,,,,0,,ThetaStar,243,b44b951f1f0f1074e0aaa7cc3f66a29c15d57fed8b98fe1f14aefdc8d6bd7c20,1,crossing_northwest_to_southeast,True,5.1002111312387,3.4349646960949354,12.085153966863464,1,0.01574375800009875
0.0,0.45547820703997566,0.015010734665652496,0.003636870670919907,,0.7546935874829813,0.2146446641391273,0.2146446641391273,0,432,0.6708777790248245,simple,0.05,214,7b500bc3656cab94463541f697ef05e8806ac2eecd1d189a895c932543fe9090,12.070657687966037,,,,0,0.0,,,,,,0,,ThetaStar,243,b44b951f1f0f1074e0aaa7cc3f66a29c15d57fed8b98fe1f14aefdc8d6bd7c20,1,crossing_northwest_to_southeast,True,0.45547820703997566,0.6708777790248245,12.070657687966037,1,0.010180850000324426
0.0,1.3845109680217234,0.005211393706604708,0.0011629650496660733,,0.7781970313845649,0.2146446641391273,0.2146446641391273,0,381,1.0931732620949273,savitzky_golay,0.05,214,35c72090d3d1cecea67d0e22d9ffd4972f12d76182a32f17a6c81b1937d15e6a,12.079880240350828,,,,0,0.0,,,,,,0,,ThetaStar,243,b44b951f1f0f1074e0aaa7cc3f66a29c15d57fed8b98fe1f14aefdc8d6bd7c20,1,crossing_northwest_to_southeast,True,1.3845109680217234,1.0931732620949273,12.079880240350828,1,0.010753460999694653
0.0,0.6557588211011167,0.019133616608167796,0.005718666923033917,,0.7806434549705338,0.2146446641391273,0.23390290478282266,0,371,0.8302609007902736,constrained,0.05,214,72c67787a32f4388790890c83bcf458d5caae0df99139e6c0a7384781b83734a,12.083892327539157,,,,0,0.0,,,,,,0,,ThetaStar,243,b44b951f1f0f1074e0aaa7cc3f66a29c15d57fed8b98fe1f14aefdc8d6bd7c20,1,crossing_northwest_to_southeast,True,0.6557588211011167,0.8302609007902736,12.083892327539157,1,0.019744676001209882
0.006,2.3086209045494384,0.05556841771964331,0.01758991672026707,,0.7386125660598175,0.2146446641391273,0.2146446641391273,0,470,1.7397460246078074,pivot_g2,0.05,464,0f5132d74767d3ffa18df9252f46d9ef9e9bc180bbfe3a6d7d4378af6f237941,12.077745432947392,91,13,13,0,0.0,200,1,464,0,0.00891552,0,94,ThetaStar,243,b44b951f1f0f1074e0aaa7cc3f66a29c15d57fed8b98fe1f14aefdc8d6bd7c20,1,crossing_northwest_to_southeast,True,2.3086209045494384,1.7397460246078074,12.077745432947392,1,0.03183727000032377
