algorithm_time_s,curvature_energy_1pm,deviation_max_m,deviation_rmse_m,error,max_abs_curvature_1pm,method,metric_spacing_m,native_point_count,output_path_sha256,path_length_m,pivot_competitive_candidates,pivot_corners,pivot_g2_transitions,pivot_max_footprint_cost,pivot_mean_transition_score,pivot_output_points,pivot_pivots,pivot_runtime_s,pivot_valid_candidates,planner,point_count,raw_path_sha256,repetition,scenario,success,wall_time_s
0.0,0.45547820703997566,0.015010734665652496,0.003636870670919907,,0.6708777790248245,simple,0.05,214,7b500bc3656cab94463541f697ef05e8806ac2eecd1d189a895c932543fe9090,12.070657687966037,,,,,,,,,,ThetaStar,243,b44b951f1f0f1074e0aaa7cc3f66a29c15d57fed8b98fe1f14aefdc8d6bd7c20,1,crossing_northwest_to_southeast,True,0.005471426999065443
0.0,1.3845109680217234,0.005211393706604708,0.0011629650496660733,,1.0931732620949273,savitzky_golay,0.05,214,35c72090d3d1cecea67d0e22d9ffd4972f12d76182a32f17a6c81b1937d15e6a,12.079880240350828,,,,,,,,,,ThetaStar,243,b44b951f1f0f1074e0aaa7cc3f66a29c15d57fed8b98fe1f14aefdc8d6bd7c20,1,crossing_northwest_to_southeast,True,0.005292819998430787
0.009000000000000001,0.6557588211011167,0.019133616608167796,0.005718666923033917,,0.8302609007902736,constrained,0.05,214,72c67787a32f4388790890c83bcf458d5caae0df99139e6c0a7384781b83734a,12.083892327539157,,,,,,,,,,ThetaStar,243,b44b951f1f0f1074e0aaa7cc3f66a29c15d57fed8b98fe1f14aefdc8d6bd7c20,1,crossing_northwest_to_southeast,True,0.013310414000443416
0.006,3.302763147542872,0.055709836274717026,0.017554458624060326,,1.8505512907373534,pivot_g2,0.05,430,9c9f6a1fb48f5b4ae702c584ac1999916254b3f158f6bad1fd21118d62846250,12.080805156345736,26,13,13,200,0.946154,430,0,0.00505909,88,ThetaStar,243,b44b951f1f0f1074e0aaa7cc3f66a29c15d57fed8b98fe1f14aefdc8d6bd7c20,1,crossing_northwest_to_southeast,True,0.013106132000757498
0.0,10.393284616382514,2.220446049250313e-16,2.8328685509662797e-17,,10.645834363835602,raw,0.05,127,5589fb3e223a928f4fb9989c8e0410f5ce39bfe2cfe513957fa0c32ff5f7c8f6,6.844286294984423,,,,,,,,,,ThetaStar,138,5589fb3e223a928f4fb9989c8e0410f5ce39bfe2cfe513957fa0c32ff5f7c8f6,1,central_south_to_north,True,0.003643840998847736
0.003,0.7153701772419533,0.030800461798113438,0.005823686373111144,,1.448581680804423,simple,0.05,127,2e65fe2b2d006d28f2e180d4317112efca9b9223874925ad5f4cc5217328a4dc,6.821921027306835,,,,,,,,,,ThetaStar,138,5589fb3e223a928f4fb9989c8e0410f5ce39bfe2cfe513957fa0c32ff5f7c8f6,1,central_south_to_north,True,0.003778349999265629
0.0,1.9025128333016252,0.010359212325773725,0.0015979460782152804,,2.8432617146292185,savitzky_golay,0.05,127,9a74cfafc4e5e6f521e9f9b8e4c658218c9fc2be8d33e7abe0fe7a7dd67290b8,6.83641272902456,,,,,,,,,,ThetaStar,138,5589fb3e223a928f4fb9989c8e0410f5ce39bfe2cfe513957fa0c32ff5f7c8f6,1,central_south_to_north,True,0.004466565000257106
0.003,0.863662731443444,0.03274169056571484,0.012123617991480597,,1.220399151444222,constrained,0.05,127,33b631f1eafb153d9f36bafe7fcf6d88138eba931c2076b2bfc7e6576f17b199,6.845169797587614,,,,,,,,,,ThetaStar,138,5589fb3e223a928f4fb9989c8e0410f5ce39bfe2cfe513957fa0c32ff5f7c8f6,1,central_south_to_north,True,0.007724424998741597
0.0,5.090104165944354,0.03615092394707737,0.015858671949878216,,6.340573464917724,pivot_g2,0.05,194,2176e299856fb86a2afd8744f0d58b27e8e2b2c6f0270efd74b5ed03ec84d86c,6.833079713195753,10,5,3,200,0.956549,194,2,0.001648,20,ThetaStar,138,5589fb3e223a928f4fb9989c8e0410f5ce39bfe2cfe513957fa0c32ff5f7c8f6,1,central_south_to_north,True,0.008518262000507093
0.0,13.870986572076308,2.220446049250313e-16,4.7745371109350785e-17,,8.26565566327993,raw,0.05,127,5947e6176039f34fe93c4e279c1b28d548cf2c869d971f5bf1e3390372e035d4,6.5845954185214275,,,,,,,,,,ThetaStar,133,5947e6176039f34fe93c4e279c1b28d548cf2c869d971f5bf1e3390372e035d4,1,right_south_to_north,True,0.0037628879999829223
0.0,1.538616149658576,0.03178326842389366,0.007636422662908055,,1.9625011099809855,simple,0.05,127,c2e4cd1015d4fc857335871ba815db917e1630461b0d62990729393041dbb3e9,6.547103733462999,,,,,,,,,,ThetaStar,132,5947e6176039f34fe93c4e279c1b28d548cf2c869d971f5bf1e3390372e035d4,1,right_south_to_north,True,0.004036804999486776
0.0,3.687074145297738,0.00922196030987555,0.0017622916932267696,,3.1943424772381164,savitzky_golay,0.05,127,ee6d1d0a7748ffd388f1c088d4b0fca95a3b20beb4e5c4972807022b0047e737,6.575339777001091,,,,,,,,,,ThetaStar,133,5947e6176039f34fe93c4e279c1b28d548cf2c869d971f5bf1e3390372e035d4,1,right_south_to_north,True,0.00434198400034802
0.003,3.0570236052452784,0.019257996581353458,0.007448018018390045,,2.4887925827801127,constrained,0.05,127,1aa7d482f702a2a03ded53200d8db75c8587c843f34cd81367745ba90530f9c5,6.575784615356439,,,,,,,,,,ThetaStar,133,5947e6176039f34fe93c4e279c1b28d548cf2c869d971f5bf1e3390372e035d4,1,right_south_to_north,True,0.00893430299947795
0.003,5.544116484605846,0.006791028944331718,0.0012099926211660739,,3.7512582948085362,pivot_g2,0.05,259,9f3894240c4e382dd938512fc4b6c0bcefaa6b9cc8100c00dab8ab8e4460bf4a,6.5763812030226925,19,10,9,200,1,259,1,0.00294859,53,ThetaStar,133,5947e6176039f34fe93c4e279c1b28d548cf2c869d971f5bf1e3390372e035d4,1,right_south_to_north,True,0.011449965000792872
0.0,0.0,0.0,0.0,,0.0,raw,0.05,57,8e8937e9c159df347bfeb35a8ef5ba9f07427b0a573b34c67b41c67bdab7e75a,2.8000000417232513,,,,,,,,,,ThetaStar,58,8e8937e9c159df347bfeb35a8ef5ba9f07427b0a573b34c67b41c67bdab7e75a,1,upper_open_short,True,0.0024441719997412292
0.0,0.0,0.0,0.0,,0.0,simple,0.05,57,8e8937e9c159df347bfeb35a8ef5ba9f07427b0a573b34c67b41c67bdab7e75a,2.8000000417232513,,,,,,,,,,ThetaStar,58,8e8937e9c159df347bfeb35a8ef5ba9f07427b0a573b34c67b41c67bdab7e75a,1,upper_open_short,True,0.0026627420011209324
0.0,0.0,0.0,0.0,,0.0,savitzky_golay,0.05,57,38d167a9cddc73aed4a5d9587122df47491cc11cac9552a7d4b00496f69a366a,2.8000000417232513,,,,,,,,,,ThetaStar,58,8e8937e9c159df347bfeb35a8ef5ba9f07427b0a573b34c67b41c67bdab7e75a,1,upper_open_short,True,0.0027655359990603756
0.0,0.0,0.0,0.0,,0.0,constrained,0.05,57,8e8937e9c159df347bfeb35a8ef5ba9f07427b0a573b34c67b41c67bdab7e75a,2.8000000417232513,,,,,,,,,,ThetaStar,58,8e8937e9c159df347bfeb35a8ef5ba9f07427b0a573b34c67b41c67bdab7e75a,1,upper_open_short,True,0.0028151589995104587
0.0,0.0,0.0,0.0,,0.0,pivot_g2,0.05,58,6de335806f6b7d59090c0852d3544939486942abfe4d5491ea76baf846d5e922,2.8000000417232513,,,,,,,,,,ThetaStar,58,8e8937e9c159df347bfeb35a8ef5ba9f07427b0a573b34c67b41c67bdab7e75a,1,upper_open_short,True,0.0031557689999317518
